First Name,Last Name,Employee ID,Emplpyee Status,Email Address,Hire Date,Start Date,Status Change Date,Anniversary M/D,Supervisor 1,Supervisor 2,Supervisor 3 ,Position Type,Level 1 Code,Level 2 Code,Level 3 Code,Level 4 Code,Street Address,City,State,Zip Code,FLSA Status,Union,Custom Field 1 ,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5
Employee,Test17,17,Active,Test17@outlook.com,7/27/2011,8/19/2016,3/4/2017,5/3/2017,5,4,3,Primary,BHS,H1,PE,NA,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test18,18,Active,Test18@outlook.com,5/25/2012,5/12/2014,1/7/2011,8/28/2012,5,4,3,Primary,BHS,H1,PE,HA,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test19,19,Active,Test19@outlook.com,4/11/2014,12/19/2011,3/7/2012,2/7/2013,5,4,3,Primary,BHS,H1,PE,LPN,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test20,20,Active,Test20@outlook.com,4/6/2011,10/22/2017,1/2/2015,2/11/2013,5,4,3,Primary,BHS,H1,PE,PH,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test21,21,Active,Test21@outlook.com,7/23/2013,4/13/2011,6/21/2018,11/24/2013,5,4,3,Primary,BHS,H1,PE,TH,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test22,22,Active,Test22@outlook.com,10/6/2015,6/14/2011,11/24/2014,2/3/2015,5,4,3,Primary,BHS,H1,PE,PT,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test23,23,Active,Test23@outlook.com,5/12/2016,9/2/2015,1/27/2016,5/28/2018,5,4,3,Primary,BHS,H1,PE,LT,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test24,24,Active,Test24@outlook.com,2/20/2012,7/25/2018,6/24/2011,12/26/2017,5,4,3,Primary,BHS,H1,PE,RT,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test25,25,Active,Test25@outlook.com,11/19/2013,9/28/2015,9/21/2014,3/21/2017,5,4,3,Primary,BHS,H1,PE,EMY,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test26,26,Active,Test26@outlook.com,6/7/2018,4/27/2017,8/16/2016,7/20/2012,6,5,4,Primary,BHS,H1,PT,PHT,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test27,27,Active,Test27@outlook.com,3/28/2018,7/23/2013,3/4/2013,10/26/2017,6,5,4,Primary,BHS,H1,PT,SL,1 Hospital Way,Boston,MA,2125,Non-Exempt,N,,,,,
Employee,Test28,28,Active,Test28@outlook.com,4/26/2016,11/6/2012,6/14/2011,5/14/2012,6,5,4,Primary,BHS,H1,PT,RT,1 Hospital Way,Boston,MA,2125,Exempt,N,,,,,
Employee,Test29,29,Active,Test29@outlook.com,2/17/2018,12/1/2017,11/17/2016,5/17/2012,6,5,4,Primary,BHS,H1,PT,RN,1 Hospital Way,Boston,MA,2125,Exempt,Y,,,,,
